"No.","Time","Source","Destination","Protocol","Length","Info"
"184","11.803609","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8356 Win=65024 Len=0"
"185","11.806912","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=8356 Ack=283 Win=14600 Len=120"
"186","11.851464","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8476 Win=65024 Len=0"
"187","11.854417","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=8476 Ack=283 Win=14600 Len=80"
"188","11.899255","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8556 Win=64768 Len=0"
"189","11.902258","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=8556 Ack=283 Win=14600 Len=80"
"190","11.945686","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=8636 Win=64768 Len=0"
"191","11.949143","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=8636 Ack=283 Win=14600 Len=120"
"192","11.955523","192.168.100.102","224.0.0.251","MDNS","80","Standard query 0x0000 A NAS-JG-Schreib.local, ""QM"" question"
"193","11.956306","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","100","Standard query 0x0000 A NAS-JG-Schreib.local, ""QM"" question"
"194","11.956972","192.168.100.102","224.0.0.251","MDNS","80","Standard query 0x0000 A NAS-JG-Schreib.local, ""QM"" question"
"195","11.957501","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","100","Standard query 0x0000 A NAS-JG-Schreib.local, ""QM"" question"
"196","11.958170","192.168.100.102","224.0.0.251","MDNS","80","Standard query 0x0000 AAAA NAS-JG-Schreib.local, ""QU"" question"
"197","11.958620","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","100","Standard query 0x0000 AAAA NAS-JG-Schreib.local, ""QU"" question"
"198","11.959278","192.168.100.102","224.0.0.251","MDNS","80","Standard query 0x0000 AAAA NAS-JG-Schreib.local, ""QU"" question"
"199","11.959818","fe80::69a5:ccfc:54ae:f895","ff02::fb","MDNS","100","Standard query 0x0000 AAAA NAS-JG-Schreib.local, ""QU"" question"
"200","11.964613","192.168.100.102","224.0.0.251","MDNS","80","Standard query 0x0000 A NAS-JG-Schreib.local, ""QM"" question"
